DDX11L1,1654
WASH7P,1340
MIR6859-1,67
MIR1302-2HG,709
MIR1302-2,137
FAM138A,1184
OR4G4P,839
OR4G11P,1411
OR4F5,2615
AL627309.1,2744
AL627309.3,1317
CICP27,3811
AL627309.6,754
AL627309.7,283
AL627309.2,321
AL627309.5,4858
RNU6-1100P,103
AL627309.4,455
FO538757.1,565
WASH9P,1387
MIR6859-2,67
AP006222.1,5599
AP006222.2,734
RPL23AP24,384
AL732372.1,992
AL732372.2,899
WBP1LP7,362
OR4F29,994
CICP7,2475
AL732372.3,1237
U6,103
AL669831.3,1700
AC114498.1,605
MTND1P23,371
MTND2P28,1043
MTCO1P12,1542
AC114498.2,88
MTCO2P12,681
MTATP8P1,206
MTATP6P1,680
MTCO3P12,546
WBP1LP6,423
OR4F16,994
CICP3,2453
AL669831.1,6416
RNU6-1199P,103
AL669831.2,454
LINC01409,2947
AL669831.6,113
AL669831.4,867
FAM87B,1945
LINC01128,8381
LINC00115,1316
FAM41C,1804
TUBB8P11,1057
AL669831.5,832
AL645608.6,349
AL645608.2,3041
AL645608.4,441
LINC02593,4151
SAMD11,2543
NOC2L,4184
KLHL17,2555
PLEKHN1,3160
PERM1,3337
AL645608.7,2085
HES4,1037
ISG15,784
AL645608.3,153
AL645608.1,469
AGRN,7439
AL645608.5,400
AL390719.1,1209
AL645608.8,827
RNF223,1898
C1orf159,3312
AL390719.3,1093
LINC01342,1617
MIR200B,94
MIR200A,89
MIR429,82
AL390719.2,986
TTLL10-AS1,3530
TTLL10,2267
TNFRSF18,1078
TNFRSF4,1702
SDF4,3513
B3GALT6,2804
C1QTNF12,1028
AL162741.1,1557
UBE2J2,2447
LINC01786,387
SCNN1D,3460
ACAP3,5297
MIR6726,60
PUSL1,1779
INTS11,3073
MIR6727,64
AL139287.1,384
CPTP,2151
TAS1R3,3469
DVL1,3290
MIR6808,58
MXRA8,2718
AURKAIP1,1069
NDUFB4P8,366
CCNL2,4439
MRPL20-AS1,2227
MRPL20,1690
RN7SL657P,292
AL391244.2,1522
ANKRD65,2186
AL391244.1,541
TMEM88B,490
LINC01770,632
VWA1,4489
ATAD3C,3852
ATAD3B,4300
AL645728.2,658
ATAD3A,2596
TMEM240,1377
SSU72,4174
AL645728.1,2100
AL691432.3,399
FNDC10,2123
AL691432.4,1827
AL691432.2,2037
MIB2,4228
MMP23B,1525
CDK11B,2978
FO704657.1,398
SLC35E2B,6424
AL691432.1,1421
MMP23A,1010
CDK11A,2964
AL031282.2,5059
AL031282.1,1806
SLC35E2A,6287
NADK,3639
GNB1,3151
AL109917.1,904
CALML6,1879
TMEM52,1116
CFAP74,5209
AL391845.2,1952
GABRD,2385
AL391845.1,434
PRKCZ,2367
AL590822.2,4195
PRKCZ-AS1,1251
FAAP20,4476
AL590822.1,324
SKI,6076
AL590822.3,5672
MORN1,4759
AL589739.1,492
AL513477.1,2406
AL513477.2,567
RER1,3021
PEX10,2865
PLCH2,6982
AL139246.1,453
AL139246.4,512
PANK4,2622
HES5,1321
AL139246.5,1529
TNFRSF14-AS1,3606
TNFRSF14,4250
AL139246.2,1294
AL139246.3,623
PRXL2B,2820
MMEL1,2855
AL831784.1,371
TTC34,8805
AC242022.2,590
AC242022.1,1555
AL592464.2,605
AL592464.3,661
AL592464.1,427
AL589702.1,1506
ACTRT2,1436
PRDM16-DT,4240
PRDM16,8681
MIR4251,60
AL008733.1,467
AL512383.1,2676
AL590438.1,3460
AL354743.2,726
AL354743.1,2782
ARHGEF16,2807
AL512413.1,381
MEGF6,7406
MIR551A,95
AL513320.1,619
TPRG1L,2396
WRAP73,6087
TP73,5178
AL136528.1,751
AL136528.2,349
TP73-AS1,6354
AL136528.3,160
CCDC27,2679
SMIM1,543
LRRC47,4296
RN7SL574P,296
AL365330.1,530
CEP104,6409
DFFB,3144
C1orf174,3496
LINC01134,3057
LINC01346,3239
LINC01345,1640
LINC02780,1254
AL805961.1,4815
EEF1DP6,371
LINC01777,2071
AL355602.1,3400
Z98747.1,354
LINC01646,1527
AJAP1,12096
Z98886.1,3028
BX005132.1,461
LINC02781,1575
LINC02782,445
AL139823.1,1221
Z98259.3,2207
Z98259.2,607
Z98259.1,1696
Z97988.2,134
AL365255.1,844
Z97988.1,72
MIR4689,69
NPHP4,5515
KCNAB2,5965
CHD5,9808
AL031847.2,658
RPL22,2276
AL031847.1,375
RNF207,3963
ICMT,4790
LINC00337,2036
HES3,706
GPR153,4192
ACOT7,2420
AL031848.2,836
HES2,4258
ESPN,4720
MIR4252,62
AL031848.1,348
TNFRSF25,3477
PLEKHG5,5199
NOL9,6615
RNU6-731P,110
AL591866.1,399
TAS1R1,2758
ZBTB48,2477
KLHL21,6442
PHF13,3628
THAP3,2048
DNAJC11,3185
LINC01672,1684
AL591163.1,984
CAMTA1-DT,412
CAMTA1,8291
