ase_id,chr,strand,out_donor,out_acceptor,in_junction
chr1@-@498684^498456-@498686^498684-498457^498455-,chr1,-,498684^,498456-,498686^498684-498457^498455-
chr1@-@765144^764800-@765146^765144-764801^764799-,chr1,-,765144^,764800-,765146^765144-764801^764799-
chr1@+@852014^852671-@852013^852015-852671^852673-,chr1,+,852014^,852671-,852013^852015-852671^852673-
chr1@+@852094^852671-@852093^852095-852671^852673-,chr1,+,852094^,852671-,852093^852095-852671^852673-
chr1@+@852110^852671-@852109^852111-852671^852673-,chr1,+,852110^,852671-,852109^852111-852671^852673-
chr1@+@970758^970879-@970757^970759-970879^970881-,chr1,+,970758^,970879-,970757^970759-970879^970881-
chr1@+@974588^975712-@974587^974589-975712^975714-,chr1,+,974588^,975712-,974587^974589-975712^975714-
chr1@-@1084353^1084011-@1084355^1084353-1084012^1084010-,chr1,-,1084353^,1084011-,1084355^1084353-1084012^1084010-
chr1@-@1084353^1084086-@1084355^1084353-1084087^1084085-,chr1,-,1084353^,1084086-,1084355^1084353-1084087^1084085-
chr1@-@1084481^1084383-@1084483^1084481-1084384^1084382-,chr1,-,1084481^,1084383-,1084483^1084481-1084384^1084382-
chr1@-@1091278^1090428-@1091280^1091278-1090429^1090427-,chr1,-,1091278^,1090428-,1091280^1091278-1090429^1090427-
chr1@-@1211704^1211625-@1211706^1211704-1211626^1211624-,chr1,-,1211704^,1211625-,1211706^1211704-1211626^1211624-
chr1@-@1213663^1213093-@1213665^1213663-1213094^1213092-,chr1,-,1213663^,1213093-,1213665^1213663-1213094^1213092-
chr1@-@1244191^1244105-@1244193^1244191-1244106^1244104-,chr1,-,1244191^,1244105-,1244193^1244191-1244106^1244104-
chr1@+@1287596^1287673-@1287595^1287597-1287673^1287675-,chr1,+,1287596^,1287673-,1287595^1287597-1287673^1287675-
chr1@-@1312593^1312368-@1312595^1312593-1312369^1312367-,chr1,-,1312593^,1312368-,1312595^1312593-1312369^1312367-
chr1@-@1312440^1312368-@1312442^1312440-1312369^1312367-,chr1,-,1312440^,1312368-,1312442^1312440-1312369^1312367-
chr1@-@1312593^1312501-@1312595^1312593-1312502^1312500-,chr1,-,1312593^,1312501-,1312595^1312593-1312502^1312500-
chr1@-@1312787^1312700-@1312789^1312787-1312701^1312699-,chr1,-,1312787^,1312700-,1312789^1312787-1312701^1312699-
chr1@-@1313035^1312949-@1313037^1313035-1312950^1312948-,chr1,-,1313035^,1312949-,1313037^1313035-1312950^1312948-
chr1@-@1313509^1313124-@1313511^1313509-1313125^1313123-,chr1,-,1313509^,1313124-,1313511^1313509-1313125^1313123-
chr1@-@1320996^1320529-@1320998^1320996-1320530^1320528-,chr1,-,1320996^,1320529-,1320998^1320996-1320530^1320528-
chr1@-@1320996^1320682-@1320998^1320996-1320683^1320681-,chr1,-,1320996^,1320682-,1320998^1320996-1320683^1320681-
chr1@-@1339582^1339439-@1339584^1339582-1339440^1339438-,chr1,-,1339582^,1339439-,1339584^1339582-1339440^1339438-
chr1@-@1354354^1354232-@1354356^1354354-1354233^1354231-,chr1,-,1354354^,1354232-,1354356^1354354-1354233^1354231-
chr1@-@1390315^1390309-@1390317^1390315-1390310^1390308-,chr1,-,1390315^,1390309-,1390317^1390315-1390310^1390308-
chr1@-@1392790^1390865-@1392792^1392790-1390866^1390864-,chr1,-,1392790^,1390865-,1392792^1392790-1390866^1390864-
chr1@-@1392679^1390865-@1392681^1392679-1390866^1390864-,chr1,-,1392679^,1390865-,1392681^1392679-1390866^1390864-
chr1@-@1391297^1390865-@1391299^1391297-1390866^1390864-,chr1,-,1391297^,1390865-,1391299^1391297-1390866^1390864-
chr1@-@1392790^1391575-@1392792^1392790-1391576^1391574-,chr1,-,1392790^,1391575-,1392792^1392790-1391576^1391574-
chr1@+@1399689^1400158-@1399688^1399690-1400158^1400160-,chr1,+,1399689^,1400158-,1399688^1399690-1400158^1400160-
chr1@-@1406909^1405886-@1406911^1406909-1405887^1405885-,chr1,-,1406909^,1405886-,1406911^1406909-1405887^1405885-
chr1@+@1485838^1486110-@1485837^1485839-1486110^1486112-,chr1,+,1485838^,1486110-,1485837^1485839-1486110^1486112-
chr1@+@1517412^1517716-@1517411^1517413-1517716^1517718-,chr1,+,1517412^,1517716-,1517411^1517413-1517716^1517718-
chr1@+@1625653^1626650-@1625652^1625654-1626650^1626652-,chr1,+,1625653^,1626650-,1625652^1625654-1626650^1626652-
chr1@+@1626999^1627074-@1626998^1627000-1627074^1627076-,chr1,+,1626999^,1627074-,1626998^1627000-1627074^1627076-
chr1@+@1628179^1628273-@1628178^1628180-1628273^1628275-,chr1,+,1628179^,1628273-,1628178^1628180-1628273^1628275-
chr1@+@1628399^1628489-@1628398^1628400-1628489^1628491-,chr1,+,1628399^,1628489-,1628398^1628400-1628489^1628491-
chr1@+@1629404^1629488-@1629403^1629405-1629488^1629490-,chr1,+,1629404^,1629488-,1629403^1629405-1629488^1629490-
chr1@+@1633120^1633188-@1633119^1633121-1633188^1633190-,chr1,+,1633120^,1633188-,1633119^1633121-1633188^1633190-
chr1@+@1633912^1633989-@1633911^1633913-1633989^1633991-,chr1,+,1633912^,1633989-,1633911^1633913-1633989^1633991-
chr1@-@1703824^1703624-@1703826^1703824-1703625^1703623-,chr1,-,1703824^,1703624-,1703826^1703824-1703625^1703623-
chr1@-@1704223^1704146-@1704225^1704223-1704147^1704145-,chr1,-,1704223^,1704146-,1704225^1704223-1704147^1704145-
chr1@-@1704550^1704344-@1704552^1704550-1704345^1704343-,chr1,-,1704550^,1704344-,1704552^1704550-1704345^1704343-
chr1@-@1722708^1722634-@1722710^1722708-1722635^1722633-,chr1,-,1722708^,1722634-,1722710^1722708-1722635^1722633-
chr1@-@1918893^1918431-@1918895^1918893-1918432^1918430-,chr1,-,1918893^,1918431-,1918895^1918893-1918432^1918430-
chr1@-@1919045^1918934-@1919047^1919045-1918935^1918933-,chr1,-,1919045^,1918934-,1919047^1919045-1918935^1918933-
