ase_id,chr,strand,out_donor,out_acceptor,in_junction
chr1@-@168100^165942-@167959^165942-,chr1,-,168100^,165942-,167959^165942-
chr1@-@498073^497299-@498047^497299-,chr1,-,498073^,497299-,498047^497299-
chr1@+@782043^783111-@782136^783111-,chr1,+,782043^,783111-,782136^783111-
chr1@+@804840^807217-@804966^807217-,chr1,+,804840^,807217-,804966^807217-
chr1@+@841373^847654-@844498^847654-,chr1,+,841373^,847654-,844498^847654-
chr1@+@841373^851927-@844498^847654-847806^851927-,chr1,+,841373^,851927-,844498^847654-847806^851927-
chr1@+@852094^852671-@852110^852671-,chr1,+,852094^,852671-,852110^852671-
chr1@+@852014^852671-@852094^852671-,chr1,+,852014^,852671-,852094^852671-
chr1@+@852014^852671-@852110^852671-,chr1,+,852014^,852671-,852110^852671-
chr1@+@852110^853391-@852766^853391-,chr1,+,852110^,853391-,852766^853391-
chr1@+@855121^856449-@855136^856449-,chr1,+,855121^,856449-,855136^856449-
chr1@-@875040^868675-@874112^868675-,chr1,-,875040^,868675-,874112^868675-
chr1@+@939412^941144-@939460^941144-,chr1,+,939412^,941144-,939460^941144-
chr1@+@941230^942410-@941306^942136-942251^942410-,chr1,+,941230^,942410-,941306^942136-942251^942410-
chr1@+@939412^942410-@939460^941144-941306^942136-942251^942410-,chr1,+,939412^,942410-,939460^941144-941306^942136-942251^942410-
chr1@-@945057^944800-@945042^944800-,chr1,-,945057^,944800-,945042^944800-
chr1@+@964167^964349-@964180^964349-,chr1,+,964167^,964349-,964180^964349-
chr1@-@1084353^1082987-@1083915^1082987-,chr1,-,1084353^,1082987-,1083915^1082987-
chr1@-@1204055^1203968-@1204034^1203968-,chr1,-,1204055^,1203968-,1204034^1203968-
chr1@-@1273666^1267992-@1273499^1267992-,chr1,-,1273666^,1267992-,1273499^1267992-
chr1@-@1267862^1266290-@1267733^1266290-,chr1,-,1267862^,1266290-,1267733^1266290-
chr1@-@1267862^1263386-@1267733^1263386-,chr1,-,1267862^,1263386-,1267733^1263386-
chr1@-@1267862^1263386-@1267733^1266290-1266098^1263386-,chr1,-,1267862^,1263386-,1267733^1266290-1266098^1263386-
chr1@-@1262269^1257310-@1262170^1257310-,chr1,-,1262269^,1257310-,1262170^1257310-
chr1@-@1323181^1321984-@1322892^1321984-,chr1,-,1323181^,1321984-,1322892^1321984-
chr1@-@1323147^1321093-@1322892^1321984-1321908^1321093-,chr1,-,1323147^,1321093-,1322892^1321984-1321908^1321093-
chr1@-@1323147^1321093-@1322892^1321093-,chr1,-,1323147^,1321093-,1322892^1321093-
chr1@-@1323181^1321093-@1323147^1321093-,chr1,-,1323181^,1321093-,1323147^1321093-
chr1@-@1323181^1321093-@1322892^1321984-1321908^1321093-,chr1,-,1323181^,1321093-,1322892^1321984-1321908^1321093-
chr1@-@1323181^1321093-@1322892^1321093-,chr1,-,1323181^,1321093-,1322892^1321093-
chr1@-@1320996^1315618-@1320456^1319433-1319296^1315618-,chr1,-,1320996^,1315618-,1320456^1319433-1319296^1315618-
chr1@-@1323181^1315618-@1323147^1321093-1320996^1320529-1320456^1319524-1319296^1315618-,chr1,-,1323181^,1315618-,1323147^1321093-1320996^1320529-1320456^1319524-1319296^1315618-
chr1@-@1323181^1315618-@1322892^1321984-1321908^1321093-1320996^1320529-1320456^1319524-1319296^1315618-,chr1,-,1323181^,1315618-,1322892^1321984-1321908^1321093-1320996^1320529-1320456^1319524-1319296^1315618-
chr1@-@1320996^1314962-@1320456^1319433-1319296^1315618-1315520^1315438-1315404^1314962-,chr1,-,1320996^,1314962-,1320456^1319433-1319296^1315618-1315520^1315438-1315404^1314962-
chr1@-@1339362^1338653-@1339287^1338653-,chr1,-,1339362^,1338653-,1339287^1338653-
chr1@-@1392790^1390865-@1392679^1390865-,chr1,-,1392790^,1390865-,1392679^1390865-
chr1@-@1420816^1419549-@1420797^1419549-,chr1,-,1420816^,1419549-,1420797^1419549-
chr1@-@1420816^1419549-@1420797^1420592-1420052^1419549-,chr1,-,1420816^,1419549-,1420797^1420592-1420052^1419549-
chr1@+@1623482^1623774-@1623699^1623774-,chr1,+,1623482^,1623774-,1623699^1623774-
chr1@+@1623679^1623774-@1623699^1623774-,chr1,+,1623679^,1623774-,1623699^1623774-
chr1@+@1623482^1623774-@1623679^1623774-,chr1,+,1623482^,1623774-,1623679^1623774-
chr1@+@1623482^1623774-@1623699^1623774-,chr1,+,1623482^,1623774-,1623699^1623774-
